address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
Route 615, Salwa 36621 Saudi Arabia,Eastern_Province,"American, Arabic", Arabic,"Route 615, Salwa 36621 Saudi Arabia",0,Closed Now:See all hours,,96692000699,," Salwa, Saudi Arabia",0
Al Jawhara,,Eastern_Province,", Fast Food, Middle Eastern, Eastern European", Fast Food,"Al Jawhara,, Al Khafji 31971 Saudi Arabia",0,+ Add hours,,966 13 390 0102, 8 -  25, G Burger,0
Firas Ibn Al Nudur Street Al Rashid Mall, Dhahran Saudi Arabia,Eastern_Province,"American, Steakhouse, Fast Food", Steakhouse,"Firas Ibn Al Nudur Street Al Rashid Mall, Dhahran Saudi Arabia",0,+ Add hours,,966 13 896 0334,, Foodruckers,0
Food Court Mall Of Dharhan, Dhahran Saudi Arabia,Eastern_Province,"Lebanese, Seafood, Fast Food, Mediterranean", Seafood,"Food Court Mall Of Dharhan, Dhahran Saudi Arabia",0,+ Add hours,,,, Siadiat Almuhtarif,0
Prince Mohammed Bin Fahd Branch Rd, Al Qusur,Eastern_Province,"Italian, Seafood, International, Eastern European", Seafood,"Prince Mohammed Bin Fahd Branch Rd, Al Qusur, Dhahran, Dhahran Saudi Arabia",0,+ Add hours,,966 13 817 2888,, ChillinG Moment,0
Mall of Dhahran Boulevard, Dhahran 34457 Saudi Arabia,Eastern_Province,"  , Arabic", Arabic,"Mall of Dhahran Boulevard, Dhahran 34457 Saudi Arabia",0,+ Add hours,,966 9200 29970, 50 -  100, Operation Falafel,0
Iwis bin alharith, Dammam Saudi Arabia,Eastern_Province,Grill,,"Iwis bin alharith, Dammam Saudi Arabia",0,+ Add hours,,966 59 009 9066,, Chickmeal,0
67th Street, Makkah Road,Eastern_Province,"  , International", International,"67th Street, Makkah Road, Dammam 34334 Saudi Arabia",0,Closed Now:See all hours,,966 13 846 2001, 15 -  100, Modon Cafe,0
Alqasim Alkhawarizmi St, Al Rakah Ash Shamaliyah,Eastern_Province,"Mexican, Latin, Spanish, South American", Latin,"Alqasim Alkhawarizmi St, Al Rakah Ash Shamaliyah, Dammam 34225 Saudi Arabia",0,+ Add hours,,,, La Comida,0
3683 7596 4B, Ar Rakah Ash Shamaliyah Khaled Ibn Al Walid St,Eastern_Province,Cafe,,"3683 7596 4B, Ar Rakah Ash Shamaliyah Khaled Ibn Al Walid St, Dammam 34225 Saudi Arabia",0,Closed Now:See all hours,,966 53 905 9799,, Seven Degrees,0
Al_mazroeea king saud road king Saud road, Dammam Saudi Arabia,Eastern_Province,Arabic,,"Al_mazroeea king saud road king Saud road, Dammam Saudi Arabia",0,+ Add hours,,966 56 008 5522,, Almansaf House,0
King Khaled St, Ar Rabi,Eastern_Province,Indian,,"King Khaled St, Ar Rabi, Dammam 32241 Saudi Arabia",0,+ Add hours,,966 13 832 2355,, Mezbaan Darbar Restaurant,0
Ashriah St Awan gallery, Dammam Saudi Arabia,Eastern_Province,Cafe,,"Ashriah St Awan gallery, Dammam Saudi Arabia",0,+ Add hours,,966 50 922 1082,, sixtyfivedegrees,0
Omar Ibn Al-Khattab Street, Dammam 32272 Saudi Arabia,Eastern_Province,Indian,,"Omar Ibn Al-Khattab Street, Dammam 32272 Saudi Arabia",0,+ Add hours,,966 13 822 2558,, Gourmet Biryani Restaurant,0
Omar Bin Alkattab, Dammam Saudi Arabia,Eastern_Province,"Barbecue, Middle Eastern, Arabic", Middle Eastern,"Omar Bin Alkattab, Dammam Saudi Arabia",0,+ Add hours,,966 13 822 3398,, Aldeek Alromie,0
Omar Bin Al khuttab Street, Dammam Saudi Arabia,Eastern_Province,,,"Omar Bin Al khuttab Street, Dammam Saudi Arabia",0,Closed Now:See all hours,,966 56 577 1159, 10 -  20, Maze Cafe,0
KIng Fahad Road, Industrial 1 Dammam 32234,Eastern_Province,"  , Italian, Indian, Asian", Italian,"KIng Fahad Road, Industrial 1 Dammam 32234, Dammam 39491 Saudi Arabia",0,+ Add hours,,966 50 240 8396, 50 -  200, Hospitality - Fine Dining Division of Algosaibi Services,0
Al Ashriah Street, Dammam 31411 Saudi Arabia,Eastern_Province,Cafe,,"Al Ashriah Street, Dammam 31411 Saudi Arabia",0,+ Add hours,,966 55 478 5444,, Native Coffee,0
Al Imam Ali Ibn Abi Talib St, Dammam 32256 Saudi Arabia,Eastern_Province,"  , American, Steakhouse, International", American,"Al Imam Ali Ibn Abi Talib St, Dammam 32256 Saudi Arabia",0,+ Add hours,,966 13 818 8999, 39 -  100, Journey Restaurant,0
Ali Abi Taler st, Dammam Saudi Arabia,Eastern_Province,Arabic,,"Ali Abi Taler st, Dammam Saudi Arabia",0,+ Add hours,,966 53 743 2111,, cheeze & BREAD,0
8484 Al Imam Muhammed Ibn Saud Al Manar, Dammam 32274 Saudi Arabia,Eastern_Province,Fast Food,,"8484 Al Imam Muhammed Ibn Saud Al Manar, Dammam 32274 Saudi Arabia",0,+ Add hours,,966 58 170 0824,, Lava Shawarma,0
Marina Mall, Al Sheraa Mall,Eastern_Province,Chinese,,"Marina Mall, Al Sheraa Mall, Ibn Khaldoun Center, Al Shetea Mall, Andalus Plaza, Othaim Mall, Dareen Mall, Al Qatif City Mall, Dammam Saudi Arabia",0,+ Add hours,,,, Caton,0
605, Al Faysaliyah,Eastern_Province,", Indian, Belgian, Fast Food", Indian,"605, Al Faysaliyah, Dammam 32272 Saudi Arabia",0,+ Add hours,,966 13 834 9555, 12 -  30, Curry n' Hurry,0
1 A Street, Dammam 32272 Saudi Arabia,Eastern_Province,Healthy,,"1 A Street, Dammam 32272 Saudi Arabia",0,+ Add hours,,,, Clean Protein,0
Shop 1100, Departure Level _ Check-in Hall,Eastern_Province,", Indian, Asian, Contemporary", Indian,"Shop 1100, Departure Level _ Check-in Hall, King Fahd International Airport, Dammam 31471 Saudi Arabia",0,+ Add hours,,966 133 8830106, 10 -  40, Root,0
7429 Al Imam Ali Ibn Abi Talib, Al Qatif 32662 Saudi Arabia,Eastern_Province,"Fast Food, Diner", Diner,"7429 Al Imam Ali Ibn Abi Talib, Al Qatif 32662 Saudi Arabia",0,+ Add hours,,966 59 202 2149,, Green Sandwich,0
Al Jazirat St., Al Qatif 32636 Saudi Arabia,Eastern_Province,Cafe,,"Al Jazirat St., Al Qatif 32636 Saudi Arabia",0,+ Add hours,,966 55 082 5718,, Squared Coffee,0
King Abdul Aziz Street, Al Qatif Saudi Arabia,Eastern_Province,Grill,,"King Abdul Aziz Street, Al Qatif Saudi Arabia",0,+ Add hours,,966 13 854 0838,, Zad Al Sayad,0
Fatah Street Al khamisah, Al Qatif 32633 Saudi Arabia,Eastern_Province,"Italian, Pizza", Pizza,"Fatah Street Al khamisah, Al Qatif 32633 Saudi Arabia",0,Closed Now:See all hours,,966 53 355 5268,, Mozzafiato Pizzeria,0
7298 Hassan Ibn Thabit Street,,Eastern_Province,"  , Grill, Middle Eastern, Arabic", Grill,"7298 Hassan Ibn Thabit Street,, Al Qatif Saudi Arabia",0,+ Add hours,,966 13 863 6144, 4 -  125, Abu Mustafa Grill,0
King Fahd Road Staybridge Suites Al Khobar, Al Khobar 77065 Saudi Arabia,Eastern_Province,"  , American", American,"King Fahd Road Staybridge Suites Al Khobar, Al Khobar 77065 Saudi Arabia",0,+ Add hours,,966 13 819 6500, 125 -  175, The Gathering Table,0
Right next to Creole in the same complex between Outback and Red Lobster, Al Khobar 34414 Saudi Arabia,Eastern_Province,"  , Mexican", Mexican,"Right next to Creole in the same complex between Outback and Red Lobster, Al Khobar 34414 Saudi Arabia",0,Closed Now:See all hours,,966 53 602 6033,, FireGrill,0
Corniche Road, Al Khobar 34611 Saudi Arabia,Eastern_Province,International,,"Corniche Road, Al Khobar 34611 Saudi Arabia",0,+ Add hours,,966 55 901 1146,, La Mer Lounge & Restaurant,0
Prince nasser Sreet A Street, Al Khobar 34217 Saudi Arabia,Eastern_Province,Asian,,"Prince nasser Sreet A Street, Al Khobar 34217 Saudi Arabia",0,+ Add hours,,966 50 179 3712,, Boilingpot,0
Corniche Khobar, Al Khobar Saudi Arabia,Eastern_Province,Middle Eastern,,"Corniche Khobar, Al Khobar Saudi Arabia",0,+ Add hours,,966 53 380 6993,, Mugalat,0
6th Street, Prince Sultan Cross,Eastern_Province,"Asian, Indonesian", Indonesian,"6th Street, Prince Sultan Cross, Al Khobar 34427 Saudi Arabia",0,+ Add hours,,966 13 899 2992,, Indonesia,0
King Khaled st Cross 27, Al Khobar Saudi Arabia,Eastern_Province,", Belgian, European", Belgian,"King Khaled st Cross 27, Al Khobar Saudi Arabia",0,+ Add hours,,966 59 595 9779, 20 -  50, Nouveauwaffle,0
Ajdan Walk, Al Khobar 34414 Saudi Arabia,Eastern_Province,American,,"Ajdan Walk, Al Khobar 34414 Saudi Arabia",0,+ Add hours,,966 13 667 8724,, Texas Roadhouse,0
Prince Mohammed Bin Fahd Road, Al Khobar Saudi Arabia,Eastern_Province,", International, Arabic", International,"Prince Mohammed Bin Fahd Road, Al Khobar Saudi Arabia",0,+ Add hours,,966 13 848 4545, 16 -  28, Majlis Cafe,0
Green Belt, Al Khobar 34436 Saudi Arabia,Eastern_Province,", American, Arabic", American,"Green Belt, Al Khobar 34436 Saudi Arabia",0,+ Add hours,,966 55 621 2478,, Offside Juice,0
Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia,Eastern_Province,Italian,,"Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia",0,+ Add hours,,966 13 830 6009,, Mon amour Cafe,0
3446 9th Street,,Eastern_Province,", Indian, Grill, Middle Eastern", Indian,"3446 9th Street,, Al Khobar 34427 Saudi Arabia",0,+ Add hours,,966 13 831 2011, 6 -  25, Al-Lail Restaurant,0
Corniche Road, Al Khobar Saudi Arabia,Eastern_Province,Street Food,,"Corniche Road, Al Khobar Saudi Arabia",0,+ Add hours,,,, Nine,0
30th Street, Al Khobar Saudi Arabia,Eastern_Province,", Pizza", Pizza,"30th Street, Al Khobar Saudi Arabia",0,+ Add hours,,, 2 -  60, Pizza Hut Thoqbah,0
8386 Ring Rd, Gharb Al Dhahran,Eastern_Province,"  , International, Contemporary", International,"8386 Ring Rd, Gharb Al Dhahran, Az Zahran 34461 Gharb Al Dhahran, Az Zahran 34461, Al Khobar 34464 Saudi Arabia",0,+ Add hours,,966 54 080 0760, 41 -  101, Ewan Restaurant,0
King Abdullah Street 7 King Abdullah Street ,7th cross ,Eastern_Province,"Middle Eastern, Pakistani", Pakistani,"King Abdullah Street 7 King Abdullah Street ,7th cross ,AL KHOBAR, Al Khobar Saudi Arabia",0,+ Add hours,,,, shehzada restaurnat,0
Ziad Bin Alkhatab Street Olaya, Al Khobar 34447 Saudi Arabia,Eastern_Province,"Indian, Fast Food, Fusion", Fast Food,"Ziad Bin Alkhatab Street Olaya, Al Khobar 34447 Saudi Arabia",0,+ Add hours,,966 56 009 2208,, Namaste Dost,0
Prince Faisal Bin Fahd Road , Khobar Same restaurant as Burrito Loco,Eastern_Province,", Chinese, Fast Food, Asian", Chinese,"Prince Faisal Bin Fahd Road , Khobar Same restaurant as Burrito Loco, Al Khobar Saudi Arabia",0,Closed Now:See all hours,,966 13 897 7070, 23 -  34, Noodle Wok,0
Khaled Ibn Al Walid Street, Al Khobar Saudi Arabia,Eastern_Province,", Turkish, Middle Eastern, Afghani", Turkish,"Khaled Ibn Al Walid Street, Al Khobar Saudi Arabia",0,+ Add hours,,966 59 379 0151, 10 -  25, The Green Bukhari Restaurant,0
King Fahd Street, Al Khobar Saudi Arabia,Eastern_Province,  ,,"King Fahd Street, Al Khobar Saudi Arabia",0,+ Add hours,,, 32 -  139, La Touche Cafe and Restaurant,0
Prin, Al Khobar Saudi Arabia,Eastern_Province,", Cafe", Cafe,"Prin, Al Khobar Saudi Arabia",0,+ Add hours,,966 50 922 1082, 9 -  25,  Degrees - Sixtyfivedegrees,0
Prince Bandar st 26 Cross, Al Khobar Saudi Arabia,Eastern_Province,", Cafe", Cafe,"Prince Bandar st 26 Cross, Al Khobar Saudi Arabia",0,+ Add hours,,966 50 922 1082, 9 -  25, ° - Sixty Five Degrees Cafe,0
4211 Prince Muqrin Street Madinat Al Umal 6307, Al Khobar 34443 Saudi Arabia,Eastern_Province,Seafood,,"4211 Prince Muqrin Street Madinat Al Umal 6307, Al Khobar 34443 Saudi Arabia",0,+ Add hours,,966 58 344 8052,, Zad Al Bahara Restaurant,0
Al Khobar Saudi Arabia,,Eastern_Province,Seafood,,Al Khobar Saudi Arabia,0,+ Add hours,,966 54 873 3174,, Sea Flavors Restaurant,0
Prience Turkey Bin Street, Al Khobar Saudi Arabia,Eastern_Province,Chinese,,"Prience Turkey Bin Street, Al Khobar Saudi Arabia",0,+ Add hours,,,, durrat china,0
Prince Humud Street, Al Khobar Saudi Arabia,Eastern_Province,Arabic,,"Prince Humud Street, Al Khobar Saudi Arabia",0,+ Add hours,,966 13 899 9995,, Kawakib Restaurant,0
Prince Faisal Bin Fahad Rode, Al Khobar Saudi Arabia,Eastern_Province,"Cafe, Healthy, Arabic", Healthy,"Prince Faisal Bin Fahad Rode, Al Khobar Saudi Arabia",0,+ Add hours,,966 13 802 0101,, Smoothie Factory,0
Corniche Road,,Eastern_Province,"  , French, American, Middle Eastern", French,"Corniche Road,, Al Khobar Saudi Arabia",0,+ Add hours,,966 13 881 7000, 25 -  145, Chocolate Lounge,0
Ash Shihab at Taifi Street, Al Khobar Saudi Arabia,Eastern_Province,Cafe,,"Ash Shihab at Taifi Street, Al Khobar Saudi Arabia",0,+ Add hours,,,, Choc Fondue,0
25 Street, King Fahad Street,Eastern_Province,Fast Food,,"25 Street, King Fahad Street, Al Khobar Saudi Arabia",0,+ Add hours,,966 50 360 7557,, Fawaz Restaurant,0
Corniche, Al Khobar 34614 Saudi Arabia,Eastern_Province,"  , Lebanese, Mediterranean, Barbecue", Lebanese,"Corniche, Al Khobar 34614 Saudi Arabia",0,Open Now:12:00 AM - 11:59 PM,,966 50 126 8500, 45 -  180, Enab Wteen Restaurant,0
Prince Sultan Road Al Jawharah, Al Khobar 34434 Saudi Arabia,Eastern_Province,"Italian, Middle Eastern, Arabic", Middle Eastern,"Prince Sultan Road Al Jawharah, Al Khobar 34434 Saudi Arabia",0,Closed Now:See all hours,,966 53 332 9352,, Mrgrill,0
King Fahd St, Al Khobar 34628 Saudi Arabia,Eastern_Province,Cafe,,"King Fahd St, Al Khobar 34628 Saudi Arabia",0,Closed Now:See all hours,,966 54 054 2913,, BunaCoffeeco,0
Prince MIshal Street Cross 11, Al Khobar 34428 Saudi Arabia,Eastern_Province,", Italian, Lebanese, Mediterranean", Italian,"Prince MIshal Street Cross 11, Al Khobar 34428 Saudi Arabia",0,Closed Now:See all hours,,966 55 968 6952, 6 -  20, Jouri Restaurant & Cafe,0
Al Jazirah St 7939 Al Jazirah St, Al Qatif 32637,Eastern_Province,"American, Cafe", Cafe,"Al Jazirah St 7939 Al Jazirah St, Al Qatif 32637, Al Khobar Saudi Arabia",0,Closed Now:See all hours,,966 57 024 0521,, Time Out Cafe,0
Abdullah Ibn Abbas St,,Eastern_Province,American,,"Abdullah Ibn Abbas St,, Al Khobar Saudi Arabia",0,+ Add hours,,966 13 858 4272,, Meltzone,0
Makkah 11 thuqba alkhobar Near koofa brosted, Al Khobar Saudi Arabia,Eastern_Province,", Chinese", Chinese,"Makkah 11 thuqba alkhobar Near koofa brosted, Al Khobar Saudi Arabia",0,Closed Now:See all hours,,966 50 323 1485, 5 -  25, Thakkaaram Indian Restaurant,0
Al Tahliyah,,Eastern_Province,Cafe,,"Al Tahliyah,, Al Khobar 34716 Saudi Arabia",0,+ Add hours,,966 50 382 6515,, Minutes Speciality Coffee,0
Prince Turkey Street, Al Khobar 34413 Saudi Arabia,Eastern_Province,Cafe,,"Prince Turkey Street, Al Khobar 34413 Saudi Arabia",0,+ Add hours,,966 59 397 7880,, WOODS Specialty Cafe & Roastery,0
Prince Faisal Bin Fahd Road, Al Khobar 34433 Saudi Arabia,Eastern_Province,Seafood,,"Prince Faisal Bin Fahd Road, Al Khobar 34433 Saudi Arabia",0,+ Add hours,,966 13 882 8885,, Shrimpail,0
Prince Muhammed Street. Opp. Madrasa, Al Khobar Saudi Arabia,Eastern_Province,Asian,,"Prince Muhammed Street. Opp. Madrasa, Al Khobar Saudi Arabia",0,+ Add hours,,966 54 274 2542,, Nasma Restaurant,0
North Corniche Road,,Jeddah,"  , Indian, Asian, Vegetarian Friendly", Indian,"North Corniche Road,, Jeddah 236132861 Saudi Arabia",194,Open Now:7:00 PM - 12:00 AM,1 of 42 Indian in Jeddah,966 9200 03800, 35 -  55,Ginger Leaf,5.0 
North Corniche Road in Qasr Al Sharq Hotel, Jeddah 21462 Saudi Arabia,Jeddah,", Italian, Mediterranean, European", Italian,"North Corniche Road in Qasr Al Sharq Hotel, Jeddah 21462 Saudi Arabia",182,Open Now:See all hours,1 of 43 Italian in Jeddah,966 9200 09565, 188 -  564, Aromi,4.5 
North Corniche Road Waldorf Astoria Jeddah Qasr Al Sharq, Jeddah 21462 Saudi Arabia,Jeddah,", Lebanese, Middle Eastern, Mediterranean", Lebanese,"North Corniche Road Waldorf Astoria Jeddah Qasr Al Sharq, Jeddah 21462 Saudi Arabia",139,Opens in 26 min:See all hours,1 of 46 Lebanese in Jeddah,966 9200 09565,, Mataam Al Sharq,5.0 
Al Cornich Road Crowne Plaza Jeddah Hotel, Jeddah 21443 Saudi Arabia,Jeddah,", Japanese, Sushi, Asian", Japanese,"Al Cornich Road Crowne Plaza Jeddah Hotel, Jeddah 21443 Saudi Arabia",508,Open Now:7:00 PM - 11:30 PM,1 of 24 Japanese in Jeddah,966 12 260 4900,, Sakura Japanese Restaurant,4.5 
Al Zahra Dist - Hera Road West Thariq Round near Jasmine malls, Jeddah Saudi Arabia,Jeddah,"  , Vegetarian Friendly, Halal, Gluten Free Options", Vegetarian Friendly,"Al Zahra Dist - Hera Road West Thariq Round near Jasmine malls, Jeddah Saudi Arabia",235,+ Add hours,5 of 628 Restaurants in Jeddah,966 12 692 6677,, Juice World,4.5 
3127 Al Kayyal Street, Unit 3 and 4,Jeddah,"  , French, International, Fusion", French,"3127 Al Kayyal Street, Unit 3 and 4, Jeddah 23433 Saudi Arabia",43,Open Now:8:00 AM - 12:00 AM,3 of 19 French in Jeddah,966 56 530 0060,, Brioche,4.0 
Al Hamra Street, Jeddah 21411 Saudi Arabia,Jeddah,", Lebanese, Mediterranean, Middle Eastern", Lebanese,"Al Hamra Street, Jeddah 21411 Saudi Arabia",430,Open Now:1:00 PM - 1:00 AM,2 of 46 Lebanese in Jeddah,966 50 671 2108, 94 -  301,Byblos Restaurant Jeddah,4.5 
Prince Mohammed Bin Abdulaziz, Jeddah Saudi Arabia,Jeddah,"  , American, Steakhouse, Halal", American,"Prince Mohammed Bin Abdulaziz, Jeddah Saudi Arabia",281,Open Now:11:00 AM - 1:00 AM,1 of 79 American in Jeddah,966 12 261 7029,, Texas Roadhouse,4.5 
Prince Sultan Street Junction with Hera Street, Jeddah Saudi Arabia,Jeddah,"  , Barbecue, Turkish, Middle Eastern", Barbecue,"Prince Sultan Street Junction with Hera Street, Jeddah Saudi Arabia",406,Open Now:6:00 AM - 3:00 AM,1 of 32 Barbecue in Jeddah,966 9200 02223,, Khayal Restaurant,4.5 
King Road, Jeddah 41462 Saudi Arabia,Jeddah,"  , American, Vegetarian Friendly, Vegan Options", American,"King Road, Jeddah 41462 Saudi Arabia",285,Open Now:11:00 AM - 1:00 AM,3 of 79 American in Jeddah,966 4 849 4073,, Fuddruckers,4.0 
Etoile Mall, Al-Malik Rd Al-Zahrah Dist,Jeddah,"  , Italian, Pizza, European", Italian,"Etoile Mall, Al-Malik Rd Al-Zahrah Dist, Jeddah Saudi Arabia",391,Open Now:8:00 AM - 12:00 AM,2 of 43 Italian in Jeddah,966 12 692 2501,, Piatto,4.0 
Corniche Road Al Hamraa' Commercial Center, Jeddah 21412 Saudi Arabia,Jeddah,"  , Cafe, Mediterranean, International", Cafe,"Corniche Road Al Hamraa' Commercial Center, Jeddah 21412 Saudi Arabia",182,Open Now:See all hours,1 of 55 Cafe in Jeddah,966 9200 10163, 68 -  143, Caffe Aroma Ksa,4.0 
2174 Corniche Road Shatie District-Rosewood Jeddah, Jeddah 21572 Saudi Arabia,Jeddah,", Japanese, Seafood, Sushi", Japanese,"2174 Corniche Road Shatie District-Rosewood Jeddah, Jeddah 21572 Saudi Arabia",94,+ Add hours,2 of 24 Japanese in Jeddah,966 12 260 7187,, Ginza I Chome,5.0 
Al-Andalus Street, Jeddah 123456 Saudi Arabia,Jeddah,"  , American, Central American, Vegetarian Friendly", American,"Al-Andalus Street, Jeddah 123456 Saudi Arabia",268,Open Now:11:00 AM - 1:00 AM,4 of 79 American in Jeddah,966 12 663 2787,, Chilli's,4.0 
Prince Abullah St Al Rawdah Dist, Jeddah Saudi Arabia,Jeddah,", Chinese, Asian, Vegetarian Friendly", Chinese,"Prince Abullah St Al Rawdah Dist, Jeddah Saudi Arabia",149,Open Now:1:00 PM - 12:00 AM,1 of 29 Chinese in Jeddah,966 12 606 0606,, Toki,4.5 
Rosewood Jeddah at North Corniche Rd Shatie District-2nd Floor-Rosewood Jeddah, Jeddah 21572 Saudi Arabia,Jeddah,", Chinese, Asian, Vegetarian Friendly", Chinese,"Rosewood Jeddah at North Corniche Rd Shatie District-2nd Floor-Rosewood Jeddah, Jeddah 21572 Saudi Arabia",122,Open Now:See all hours,2 of 29 Chinese in Jeddah,966 12 260 7138," 188 -  1,129", Noodles,4.5 
King Road and Tahlia Street Al-Tahlyeh Street, Jeddah Saudi Arabia,Jeddah,"  , American, Steakhouse, Halal", American,"King Road and Tahlia Street Al-Tahlyeh Street, Jeddah Saudi Arabia",202,+ Add hours,5 of 79 American in Jeddah,966 12 665 5312,, Steak House,4.0 
Hiraa St, Jeddah Saudi Arabia,Jeddah,"  , American, Fast Food, Halal", American,"Hiraa St, Jeddah Saudi Arabia",125,+ Add hours,6 of 79 American in Jeddah,966 56 118 0005,, Section-B,4.0 
Prince Faisal Bin Fahd Al Shatee, Jeddah 21514 Saudi Arabia,Jeddah,"  , Mediterranean, European, International", Mediterranean,"Prince Faisal Bin Fahd Al Shatee, Jeddah 21514 Saudi Arabia",108,+ Add hours,2 of 47 International in Jeddah,966 55 535 4139,, Amara Terrace Restaurant,4.0 
Al-Matar Street Across from Eve Graveyard, Jeddah Saudi Arabia,Jeddah,", Fast Food, Grill, Middle Eastern", Fast Food,"Al-Matar Street Across from Eve Graveyard, Jeddah Saudi Arabia",110,Open Now:See all hours,5 of 48 Fast Food in Jeddah,966 56 775 0999, 4 -  7, Shawarma Shakir Aljazeera,4.0 
7909 Corniche Road Hilton Jeddah, Jeddah 236132861 Saudi Arabia,Jeddah,"  , American", American,"7909 Corniche Road Hilton Jeddah, Jeddah 236132861 Saudi Arabia",49,Open Now:4:00 PM - 12:00 AM,7 of 79 American in Jeddah,966 9200 03800,, Manhattan Sports Diner,4.5 
Prince Mohammed Bin Abdulaziz Street,,Jeddah,", Japanese, Sushi, Asian", Japanese,"Prince Mohammed Bin Abdulaziz Street,, Jeddah 21442 Saudi Arabia",70,Open Now:2:00 PM - 2:00 AM,3 of 24 Japanese in Jeddah,966 9200 10434,, Nozomi,4.5 
Corniche Road, Jeddah Saudi Arabia,Jeddah,"  , Seafood, Vegetarian Friendly, Halal", Seafood,"Corniche Road, Jeddah Saudi Arabia",104,Open Now:1:00 PM - 2:00 AM,2 of 44 Seafood in Jeddah,966 12 606 6144,, Blue Ocean,4.5 
Tahlia Street Le Mall, Jeddah 23326 Saudi Arabia,Jeddah,"  , Chinese, Asian, Vegetarian Friendly", Chinese,"Tahlia Street Le Mall, Jeddah 23326 Saudi Arabia",208,Open Now:See all hours,3 of 29 Chinese in Jeddah,966 12 261 7021,, PF Chang's,4.0 
Al-Amir Sultan Street, Jeddah Saudi Arabia,Jeddah,", Brazilian, Latin, Barbecue", Brazilian,"Al-Amir Sultan Street, Jeddah Saudi Arabia",80,Open Now:1:00 PM - 12:00 AM,1 of 3 Brazilian in Jeddah,966 9200 06815,, Fogo De Chao Brazilian SteakHouse,4.5 
